Date:  23:24; lundi; février 21; 2022
Nom du modèle: FEA_Mirror3Ra_WithCone
Nom de l'étude: M3Ra_El00Pa00ct_Bonded(-Défaut-)
Type de tracé: Déplacement statique DispZ
Type de résultat: UZ 

        
Valeur	Unité
Somme	1 008.785828	mm
Moyenne	0.060222	mm
Max	0.349747	mm
Min	-0.150740	mm
Moyenne quadratique	0.134747	mm

Noeud	Valeur	X_mm	Y_mm	Z_mm	Composants
143230	0.174893	781.25000000	1 565.43481445	151.30131531	Mirror3Ra_Left-1
143231	0.228374	1 093.75000000	1 913.31103516	235.42922974	Mirror3Ra_Left-1
143232	0.100746	781.25000000	869.68371582	72.45832825	Mirror3Ra_Left-1
143233	0.140492	1 093.75000000	1 217.55957031	136.76425171	Mirror3Ra_Left-1
143234	0.076724	312.50000000	525.13189697	21.95719910	Mirror3Ra_Left-1
143235	0.080550	1 093.75000000	521.80877686	79.01590729	Mirror3Ra_Left-1
143236	0.059603	781.25000000	173.93322754	35.01752853	Mirror3Ra_Left-1
143237	0.159593	1 718.75000000	1 217.56079102	226.88398743	Mirror3Ra_Left-1
143238	0.115565	1 406.25000000	869.68469238	143.08135986	Mirror3Ra_Left-1
143239	0.092069	1 718.75000000	521.80999756	170.85151672	Mirror3Ra_Left-1
143240	0.058411	1 406.25000000	173.93415833	107.11878967	Mirror3Ra_Left-1
143241	0.088611	156.25000000	734.15606689	31.54995346	Mirror3Ra_Left-1
143242	0.212656	156.25000000	1 887.88488770	172.04541016	Mirror3Ra_Left-1
143243	0.228122	156.25000000	1 997.48632813	191.15148926	Mirror3Ra_Left-1
143244	-0.066818	1 931.67309570	-1 605.43017578	319.22097778	Mirror3Ra_Left-1
143245	-0.045427	2 089.46289063	-1 332.45617676	316.05960083	Mirror3Ra_Left-1
143246	-0.102015	156.25000000	-2 047.03906250	183.71708679	Mirror3Ra_Left-1
143247	0.162975	156.25000000	1 522.38000488	115.50056458	Mirror3Ra_Left-1
143248	-0.044251	156.25000000	-1 405.29943848	81.23455811	Mirror3Ra_Left-1
143249	-0.093421	156.25000000	-1 941.09106445	163.72045898	Mirror3Ra_Left-1
143250	0.027662	156.25000000	-581.86608887	11.58978844	Mirror3Ra_Left-1
143251	-0.094527	1 631.89855957	-1 917.59960938	311.73712158	Mirror3Ra_Left-1
143252	-0.069803	1 377.29956055	-1 566.86840820	208.91712952	Mirror3Ra_Left-1
143253	0.239054	1 675.18200684	1 869.98181152	309.45623779	Mirror3Ra_Left-1
143254	-0.016413	156.25000000	-1 119.89892578	49.50841141	Mirror3Ra_Left-1
143255	-0.036330	1 982.23144531	-1 188.04162598	273.93997192	Mirror3Ra_Left-1
